title,artist,highest_peak,total_weeks_on_chart,first_appearance,hit_score,is_hit
I Hate YoungBoy,YoungBoy Never Broke Again,79,10,2022-03-11,41,0
I Have Nothing,Tessanne Chin,51,1,2014-01-03,51,0
I Heard,YoungBoy Never Broke Again,98,1,2023-05-26,4,0
I Heard You're Married,The Weeknd Featuring Lil Wayne,62,1,2022-01-21,40,0
I Hit It First,Ray J Featuring Bobby Brackins,51,6,2013-04-26,61,0
I Hold On,Dierks Bentley,40,190,2014-01-03,440,1
I Hope,Gabby Barrett Featuring Charlie Puth,3,1953,2020-01-10,4003,1
I Hope Ur Miserable Until Ur Dead,Nessa Barrett,88,1,2021-08-20,14,0
I Hope You Find Your Way Home,"Tyler, The Creator",65,3,2024-11-08,41,0
I Hope You're Happy Now,Carly Pearce & Lee Brice,27,325,2020-01-17,723,1
I Invented Sex,Trey Songz Featuring Drake,42,174,2010-01-01,406,1
I Just Had Sex,The Lonely Island Featuring Akon,30,66,2011-01-07,202,1
I Keep On Loving You,Reba,78,55,2010-05-07,132,1
I Killed You,"Tyler, The Creator",46,3,2024-11-08,60,0
I Kissed A Girl,Glee Cast,66,1,2011-12-16,36,0
I Knew You Were Trouble,Michelle Chamuel,85,1,2013-06-21,17,0
I Knew You Were Trouble (Taylor's Version),Taylor Swift,46,1,2021-11-26,56,0
I Knew You Were Trouble.,Taylor Swift,2,666,2012-10-26,1430,1
I Know,Kanii,90,3,2023-04-14,16,0
I Know,Polo G,95,1,2020-05-29,7,0
I Know,Post Malone,53,1,2019-09-20,49,0
I Know,YoungBoy Never Broke Again,46,1,2022-08-19,56,0
I Know ?,Travis Scott,11,253,2023-08-11,595,1
I Know It,Rod Wave,74,1,2022-08-26,28,0
I Know Places (Taylor's Version),Taylor Swift,36,1,2023-11-10,66,0
I Know Somebody,LOCASH,52,66,2016-09-16,180,1
I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,20,210,2015-12-04,500,1
I Know You,Lil Skies Featuring Yung Pinch,79,6,2018-06-22,33,0
I Like Dat,T-Pain & Kehlani,97,1,2021-08-27,5,0
I Like How It Feels,Enrique Iglesias Featuring Pitbull & The WAV.s,74,6,2011-10-21,38,0
I Like It,"Cardi B, Bad Bunny & J Balvin",1,1326,2018-04-20,2751,1
I Like It,Enrique Iglesias Featuring Pitbull,4,741,2010-05-28,1578,1
I Like It Like That,Hot Chelle Rae Featuring New Boyz,28,210,2011-10-21,492,1
I Like Me Better,Lauv,27,861,2018-02-23,1795,1
I Like The Sound Of That,Rascal Flatts,52,136,2016-02-12,320,1
I Like The Way You Kiss Me,Artemas,12,210,2024-04-05,508,1
I Like You (A Happier Song),Post Malone Featuring Doja Cat,3,666,2022-06-17,1429,1
I Lived,OneRepublic,32,153,2014-12-12,374,1
I Lived It,Blake Shelton,63,171,2018-03-16,379,1
I Look In People's Windows,Taylor Swift,39,3,2024-05-03,67,0
I Look To You,Glee Cast,74,1,2010-10-22,28,0
I Love It,Icona Pop Featuring Charli XCX,7,435,2013-02-15,963,1
I Love It,Kanye West & Lil Pump,6,78,2018-09-21,250,1
I Love Me,Demi Lovato,18,55,2020-03-20,192,1
I Love My Country,Florida Georgia Line,40,210,2020-04-10,480,1
"I Love New York / New York, New York",Glee Cast,81,1,2011-06-10,21,0
I Love This Life,LOCASH,56,171,2015-11-13,386,1
I Love You,Billie Eilish,53,1,2019-04-12,49,0
I Love You So,The Walters,71,136,2022-01-14,301,1
I Love You This Big,Scotty McCreery,11,136,2011-06-10,361,1
"I Love You, I'm Sorry",Gracie Abrams,19,210,2024-08-16,501,1
I Luh Ya Papi,Jennifer Lopez Featuring French Montana,77,3,2014-03-28,29,0
I Luv Her,GloRilla & T-Pain,70,28,2024-10-25,86,0
I Luv It,Camila Cabello & Playboi Carti,81,1,2024-04-12,21,0
I Luv This Sh*t,August Alsina Featuring Trinidad James,48,210,2013-09-20,472,1
I Made It (Cash Money Heroes),"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",21,210,2010-02-19,499,1
I Mean It,G-Eazy Featuring Remo,98,10,2015-01-16,22,0
I Met A Girl,William Michael Morgan,60,45,2016-09-09,130,1
I Might Need Security,Chance The Rapper,60,1,2018-08-03,42,0
I Miss You,Clean Bandit Featuring Julia Michaels,92,1,2018-01-19,10,0
I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey,4,210,2011-02-18,516,1
I Need Your Love,Calvin Harris Featuring Ellie Goulding,16,325,2013-05-03,734,1
I Need Your Love,"Shaggy Featuring Mohombi, Faydee, Costi",66,36,2015-05-22,106,0
I Never Lie,Zach Top,58,91,2024-09-27,224,1
I Never Told You,Colbie Caillat,48,210,2010-04-09,472,1
I Put A Spell On You,Annie Lennox,97,1,2015-02-27,5,0
I Really Like You,Carly Rae Jepsen,39,210,2015-03-20,481,1
I Remember,Rod Wave,77,1,2020-04-17,25,0
I Remember Everything,Zach Bryan Featuring Kacey Musgraves,1,1378,2023-09-08,2855,1
I Saw Mommy Kissing Santa Claus,Jackson 5,43,1,2024-01-05,59,0
I See You,Luke Bryan,41,190,2014-12-12,439,1
I Should Probably Go To Bed,Dan + Shay,28,300,2020-08-14,672,1
I Smile,Kirk Franklin,85,171,2011-03-11,357,1
"I Swear, I Really Wanted To Make A ""Rap"" Album But...",Andre 3000,90,1,2023-12-01,12,0
I Think,"Tyler, The Creator",51,1,2019-05-31,51,0
I Think He Knows,Taylor Swift,51,1,2019-09-06,51,0
I Thought About Killing You,Kanye West,28,1,2018-06-15,74,0
I Took A Pill In Ibiza,Mike Posner,4,703,2016-02-05,1502,1
I Walk The Line,Craig Wayne Boyd,84,1,2014-12-12,18,0
I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,1,39,2012-02-24,177,1
I Wanna Go,Britney Spears,7,210,2011-04-15,513,1
I Wanna Make You Close Your Eyes,Dierks Bentley,52,144,2010-01-01,336,1
I Wanna Rock,Snoop Dogg,41,119,2010-01-01,297,1
I Want Crazy,Hunter Hayes,19,210,2013-04-26,501,1
I Want It,Juice WRLD,47,1,2020-07-24,55,0
I Want To Hold Your Hand,Glee Cast,36,1,2010-10-22,66,0
I Want To Know What Love Is,Terry McDermott,84,1,2012-12-21,18,0
I Want You To Know,Zedd Featuring Selena Gomez,17,136,2015-03-13,355,1
I Was Jack (You Were Diane),Jake Owen,43,66,2018-06-08,189,1
I Was Never There,The Weeknd Featuring Gesaffelstein,35,1,2018-04-13,67,0
I Was On A Boat That Day,Old Dominion,37,190,2021-07-16,443,1
I Will Always Love You,Glee Cast,87,1,2012-03-02,15,0
I Will Always Love You,Whitney Houston,1,84,2012-02-24,267,1
I Will Never Let You Down,Rita Ora,77,21,2014-08-15,65,0
I Will Not Bow,Breaking Benjamin,40,90,2010-01-01,240,1
I Will Wait,Mumford & Sons,12,780,2012-08-24,1648,1
I Wish,Kodak Black,90,1,2022-03-11,12,0
I Wish Grandpas Never Died,Riley Green,66,78,2020-01-10,190,1
I Wish I Hated You,Ariana Grande,39,3,2024-03-22,67,0
I Wish You Roses,Kali Uchis,81,3,2023-02-03,25,0
I Wish You Would,DJ Khaled Featuring Kanye West & Rick Ross,78,3,2012-07-20,28,0
I Wish You Would (Taylor's Version),Taylor Swift,31,1,2023-11-10,71,0
I Won,Future Featuring Kanye West,98,6,2014-05-09,14,0
I Won't Back Down,Blake Shelton & Dia Frampton,57,1,2011-07-15,45,0
I Won't Give Up,Jana Kramer,75,1,2011-02-25,27,0
I Won't Give Up,Jason Mraz,8,990,2012-01-20,2072,1
I Won't Let Go,Rascal Flatts,31,210,2010-11-12,489,1
I Won't Let You Down,OK Go,71,1,2014-11-14,31,0
I Would Die 4 U,Prince And The Revolution,8,16,2016-05-13,124,1
I Wouldn't Be A Man,Josh Turner,92,1,2011-07-22,10,0
I Wrote The Book,Morgan Wallen,18,190,2023-02-10,462,1
I'd Do Anything To Make You Smile,Jack Harlow,88,1,2022-05-20,14,0
I'd Just Love To Lay You Down,Barrett Baber,92,1,2015-12-18,10,0
I'll Be Home For Christmas,Bing Crosby With John Scott Trotter And His Orchestra,50,1,2021-01-01,52,0
I'll Be Home For Christmas,Camila Cabello,71,10,2021-12-17,49,0
I'll Be Home For Christmas,Kelly Clarkson,93,1,2011-12-23,9,0
I'll Kill You,Summer Walker Featuring Jhene Aiko,61,6,2019-10-18,51,0
I'll Name The Dogs,Blake Shelton,56,195,2017-09-29,434,1
I'll Never Love Again,Lady Gaga,36,28,2018-10-19,120,1
I'll Show You,Justin Bieber,19,78,2015-11-20,237,1
I'm A Mess,Bebe Rexha,35,210,2018-07-27,485,1
I'm A Slave 4 U,Glee Cast,52,1,2010-10-15,50,0
I'm All Yours,Jay Sean Featuring Pitbull,85,1,2012-06-15,17,0
I'm Awesome,Spose,37,45,2010-04-02,153,1
I'm Back,T.I.,44,120,2010-04-02,296,1
I'm Better,Missy Elliott Featuring Lamb,71,1,2017-02-17,31,0
I'm Comin' Over,Chris Young,33,276,2015-05-29,619,1
I'm Dat N***a,Future,10,3,2022-05-13,96,0
I'm Different,2 Chainz,27,210,2012-11-30,493,1
I'm Flexin',T.I. Featuring Big K.R.I.T.,66,1,2011-10-21,36,0
I'm Going In,Drake Featuring Lil Wayne & Young Jeezy,40,62,2010-01-01,184,1
I'm Gonna Be,Post Malone,33,3,2019-09-20,73,0
I'm Gonna Love You,Cody Johnson & Carrie Underwood,42,78,2024-10-11,214,1
I'm Gonna Love You Through It,Martina McBride,61,210,2011-09-09,459,1
I'm Good (Blue),David Guetta & Bebe Rexha,4,1176,2022-09-09,2448,1
I'm In,Keith Urban,60,135,2010-06-18,310,1
I'm Into You,Jennifer Lopez Featuring Lil Wayne,41,120,2011-05-20,299,1
I'm Just Ken,Ryan Gosling,87,6,2023-08-04,25,0
I'm Not Gonna Miss You,Glen Campbell,90,1,2014-10-31,12,0
I'm Not Gonna Teach Your Boyfriend To Dance With You,Glee Cast,72,1,2011-05-27,30,0
I'm Not Here To Make Friends,Sam Smith,71,3,2023-02-10,35,0
I'm Not That Girl,Cynthia Erivo,94,3,2024-12-06,12,0
I'm Not The Only One,Sam Smith,5,703,2014-06-20,1501,1
I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",10,276,2011-06-03,642,1
I'm On One,Future Featuring Drake,11,15,2022-05-13,119,0
I'm Out,Ciara Featuring Nicki Minaj,44,15,2013-07-19,86,0
I'm Ready,AJR,65,66,2014-06-20,167,1
I'm Ready,Sam Smith & Demi Lovato,36,10,2020-05-01,84,0
I'm Single,Lil Wayne,82,1,2010-05-28,20,0
I'm So Tired...,Lauv & Troye Sivan,81,21,2019-02-08,61,0
I'm Sorry,Adam Wakefield,94,1,2016-06-03,8,0
I'm Sorry,Lil Uzi Vert,37,1,2020-03-20,65,0
I'm That Girl,Beyonce,26,3,2022-08-12,80,0
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",1,253,2017-05-19,605,1
I'm The Only One,Glee Cast,86,1,2011-12-16,16,0
I'm The Plug,Drake & Future,76,15,2015-10-09,54,0
I'm Tired,Labrinth & Zendaya,53,10,2022-03-11,67,0
I'm To Blame,Kip Moore,100,1,2015-09-11,2,0
I'm Upset,Drake,7,136,2018-06-08,365,1
I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy,62,45,2019-03-22,128,1
I. Crawl,Childish Gambino,86,1,2013-12-20,16,0
ICU,Coco Jones,62,210,2023-03-31,458,1
IDGAF,BoyWithUke X blackbear,99,1,2022-04-01,3,0
IDGAF,Drake Featuring Yeat,2,210,2023-10-20,518,1
IDGAF,Dua Lipa,49,276,2018-01-26,603,1
IDGAF,"Tee Grizzley, Mariah The Scientist & Chris Brown",98,3,2024-01-19,8,0
IDK NoMore,Gunna,76,1,2023-06-30,26,0
IDK That Bitch,Gunna Featuring G Herbo,59,3,2022-01-21,47,0
IDOL,BTS Featuring Nicki Minaj,11,6,2018-09-07,101,0
II Hands II Heaven,Beyonce,60,1,2024-04-12,42,0
II Most Wanted,Beyonce & Miley Cyrus,6,21,2024-04-12,136,1
IMY2,Drake Featuring Kid Cudi,22,3,2021-09-17,84,0
INTRO,DaBaby,13,21,2019-10-04,129,1
Ice,Kelly Rowland Featuring Lil Wayne,88,78,2012-09-14,168,1
Ice Age,Don Toliver Featuring Travis Scott,92,1,2024-06-28,10,0
Ice Attack,Future & Metro Boomin,13,3,2024-04-05,93,0
Ice Cream,BLACKPINK X Selena Gomez,13,36,2020-09-11,159,1
Ice Ice Baby,Glee Cast,74,1,2010-05-21,28,0
Ice Melts,Drake Featuring Young Thug,62,3,2017-04-07,44,0
Ice Tray,Quavo & Lil Yachty,74,20,2018-01-05,66,0
If Heaven Wasn't So Far Away,Justin Moore,49,210,2011-04-08,471,1
If I Can't Have You,Shawn Mendes,2,276,2019-05-17,650,1
If I Could Fly,One Direction,83,1,2015-12-04,19,0
If I Didn't Have You,Thompson Square,49,210,2012-11-16,471,1
If I Didn't Love You,Jason Aldean & Carrie Underwood,15,325,2021-08-06,735,1
If I Die Young,The Band Perry,14,1431,2010-07-23,2948,1
If I Had You,Adam Lambert,30,210,2010-07-09,490,1
If I Lose Myself,OneRepublic,74,15,2013-01-25,56,0
If I Told You,Darius Rucker,53,66,2017-04-28,179,1
If I Was A Cowboy,Miranda Lambert,53,210,2022-02-11,467,1
"If I'm Lyin, I'm Flyin",Kodak Black,56,6,2018-10-12,56,0
If It Ain't Love,Jason Derulo,67,36,2016-04-29,105,0
If It's Love,Train,34,210,2010-06-25,486,1
If Only,Dove Cameron,94,3,2015-08-21,12,0
If Pain Was A Person,Moneybagg Yo,54,3,2021-05-07,52,0
If The Boot Fits,Granger Smith,80,6,2017-01-27,32,0
If The World Was Ending,JP Saxe Featuring Julia Michaels,27,435,2020-04-10,943,1
If This Was A Movie,Taylor Swift,10,3,2011-11-25,96,0
If We Ever Meet Again,Timbaland Featuring Katy Perry,37,170,2010-04-09,403,1
If You Know You Know,Pusha T,73,1,2018-06-08,29,0
If You Only Knew,Shinedown,42,182,2010-01-01,422,1
If You Want To,Lil Baby & Lil Durk,99,1,2021-06-18,3,0
Iffy,Chris Brown,71,36,2022-01-28,101,0
Ignorantes,Bad Bunny & Sech,49,6,2020-02-28,63,0
Igor's Theme,"Tyler, The Creator",67,1,2019-05-31,35,0
Igual Que Un Angel,Kali Uchis & Peso Pluma,22,55,2024-01-26,188,1
Igualito A Mi Apa,Fuerza Regida & Peso Pluma,80,21,2023-04-28,62,0
Illicit Affairs,Taylor Swift,44,1,2020-08-07,58,0
Illusion,Dua Lipa,43,171,2024-04-26,399,1
Ilomilo,Billie Eilish,62,1,2019-04-12,40,0
Ima Boss,"Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz",51,3,2012-02-24,55,0
Imagine,Ariana Grande,21,36,2018-12-28,151,1
Imagine,Sawyer Fredericks,98,1,2015-05-01,4,0
Imitadora,Romeo Santos,91,1,2017-08-11,11,0
Imma Be,The Black Eyed Peas,1,375,2010-01-01,849,1
Immortal,21 Savage,55,3,2019-11-15,51,0
Immortal,J. Cole,11,15,2016-12-30,119,0
Immortals,Fall Out Boy,72,36,2015-02-06,100,0
Imperfect For You,Ariana Grande,37,3,2024-03-22,69,0
Impossible,Shontelle,13,210,2010-05-07,507,1
In A Minute,Lil Baby,14,406,2022-04-22,898,1
In Between,Scotty McCreery,53,91,2020-04-24,229,1
In Case You Didn't Know,Brett Young,19,406,2017-02-24,893,1
In Control,YoungBoy Never Broke Again,73,3,2019-10-25,33,0
In Da Getto,J Balvin & Skrillex,90,6,2021-09-10,22,0
In Ha Mood,Ice Spice,58,136,2023-02-17,314,1
In My Blood,Shawn Mendes,11,276,2018-03-30,641,1
In My Feelings,Drake,1,253,2018-07-13,605,1
In My Head,Ariana Grande,38,3,2019-02-22,68,0
In My Head,Jason Derulo,5,594,2010-01-01,1283,1
In My Head,Juice WRLD,23,3,2022-11-11,83,0
In My Head,Lil Tjay,33,10,2022-04-15,87,0
In My Room,Frank Ocean,85,1,2019-11-15,17,0
In The Bible,Drake Featuring Lil Durk & Giveon,7,36,2021-09-17,165,1
In The Bible,Morgan Wallen Featuring HARDY,47,3,2023-03-17,59,0
In The Dark,Dev,11,210,2011-08-19,509,1
In The End,Linkin Park,2,39,2017-08-11,176,1
In The Name Of Love,Martin Garrix & Bebe Rexha,24,276,2016-09-02,628,1
In The Night,The Weeknd,12,210,2015-09-18,508,1
In The Stars,Benson Boone,82,1,2022-05-13,20,0
In Too Deep,Eminem,71,1,2020-01-31,31,0
In Your Arms,Nico & Vinz,72,78,2014-10-31,184,1
In Your Eyes,The Weeknd,16,120,2020-04-03,324,1
In Your Love,Tyler Childers,43,55,2023-08-11,167,1
Indica Badu,Logic Featuring Wiz Khalifa,56,1,2018-03-23,46,0
Indifferent,Megan Moroney,91,3,2024-07-26,15,0
Indigo,Sam Barber Featuring Avery Anna,65,3,2024-12-20,41,0
Industry Baby,Lil Nas X & Jack Harlow,1,903,2021-08-06,1905,1
Infinite,Eminem,97,1,2016-12-09,5,0
Infinity,Jaymes Young,94,1,2022-02-11,8,0
Infinity,Mariah Carey,82,1,2015-05-15,20,0
Infinity,One Direction,54,3,2015-10-09,52,0
Infinity (888),XXXTENTACION Featuring Joey Bada$$,83,1,2018-03-30,19,0
Infrared,Pusha T,65,1,2018-06-08,37,0
Inmortal,Aventura,95,1,2019-04-19,7,0
Innocent,Taylor Swift,27,1,2010-11-12,75,0
Innocent (Taylor's Version),Taylor Swift,63,1,2023-07-21,39,0
Insane,Post Malone,62,1,2022-06-17,40,0
Insane,Summer Walker,52,1,2021-11-19,50,0
Insecurities,Lil Baby,56,3,2024-11-29,50,0
Institutionalized,"Kendrick Lamar Featuring Bilal, Anna Wise & Snoop Dogg",99,1,2015-04-03,3,0
Intentions,Justin Bieber Featuring Quavo,5,496,2020-02-21,1087,1
International Love,Pitbull Featuring Chris Brown,13,351,2011-06-17,789,1
Internet,Post Malone,58,1,2019-09-20,44,0
Into The Unknown,Idina Menzel & AURORA,46,78,2019-12-06,210,1
Into The Unknown,Panic! At The Disco,98,3,2019-12-06,8,0
Into You,Ariana Grande,13,300,2016-05-27,687,1
Intro,J. Cole,53,1,2018-05-04,49,0
Intro,Meek Mill,55,1,2018-12-14,47,0
Intro (End Of The World),Ariana Grande,38,3,2024-03-22,68,0
Intro (Hate On Me),Meek Mill,36,1,2021-10-15,66,0
Introducing Me,Nick Jonas,92,1,2010-09-24,10,0
Inventing Shadows,Dia Frampton,20,1,2011-07-15,82,0
Invisible,Hunter Hayes,44,78,2014-02-07,212,1
Invisible String,Taylor Swift,37,3,2020-08-07,69,0
Iridescent,Linkin Park,81,6,2011-06-17,31,0
Iris,Phoebe & Maggie,57,1,2020-11-27,45,0
Iris,Sawyer Fredericks,100,1,2015-05-08,2,0
Irresistible,Fall Out Boy,48,105,2015-01-23,262,1
Is Anybody Out There?,K'Naan Featuring Nelly Furtado,92,3,2012-04-20,14,0
Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,1,253,2023-11-10,605,1
Is That Alright?,Lady Gaga,63,1,2018-10-19,39,0
Is There More,Drake,36,3,2018-07-13,70,0
Is There Someone Else?,The Weeknd,31,3,2022-01-21,75,0
Isis,Joyner Lucas Featuring Logic,59,3,2019-06-07,47,0
Isn't She Lovely,Glee Cast,65,1,2011-05-27,37,0
Issues,Julia Michaels,11,435,2017-02-10,959,1
Issues,Meek Mill,77,1,2017-08-11,25,0
It Ain't Me,Kygo x Selena Gomez,10,435,2017-03-03,960,1
It Ain't My Fault,Brothers Osborne,79,136,2017-06-30,293,1
It Ain't Safe,DJ Khaled Featuring Nardo Wick & Kodak Black,77,1,2022-09-09,25,0
It All Comes Out In The Wash,Miranda Lambert,70,3,2019-11-15,36,0
It Don't Hurt Like It Used To,Billy Currington,44,153,2016-08-12,362,1
It Girl,Jason Derulo,17,253,2011-08-26,589,1
It Goes Like This,Thomas Rhett,25,253,2013-06-28,581,1
It Kills Me,Melanie Fiona,43,200,2010-01-01,457,1
It Matters To Her,Scotty McCreery,49,55,2023-04-28,161,1
It Was Always You,Maroon 5,45,6,2014-08-15,67,0
It Will Rain,Bruno Mars,3,435,2011-10-14,967,1
It Won't Stop,Sevyn Streeter Featuring Chris Brown,30,210,2013-10-18,490,1
It's A Beautiful Day,Michael Buble,94,1,2013-03-15,8,0
"It's A Man's, Man's Man's World",Glee Cast,95,1,2010-06-18,7,0
"It's A Man's, Man's, Man's World",Juliet Simms,70,1,2012-05-18,32,0
It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",44,210,2017-06-30,476,1
It's Beginning To Look A Lot Like Christmas,Michael Buble,15,276,2011-12-16,637,1
It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,12,351,2018-12-28,790,1
It's Everyday Bro,Jake Paul Featuring Team 10,91,3,2017-06-23,15,0
It's Goin' Down,Descendants 2 Cast,77,10,2017-08-11,43,0
It's Good,Lil Wayne Featuring Drake & Jadakiss,79,1,2011-09-16,23,0
It's Nice To Have A Friend,Taylor Swift,92,1,2019-09-06,10,0
It's Not Right But It's Okay,Glee Cast,92,1,2012-05-11,10,0
It's Not Unusual,Glee Cast,65,1,2011-10-07,37,0
It's Ok I'm Ok,Tate McRae,20,105,2024-09-27,290,1
It's The Most Wonderful Time Of The Year,Andy Williams,5,986,2017-01-06,2067,1
It's Time,Glee Cast,95,1,2012-09-28,7,0
It's Time,Imagine Dragons,15,1128,2012-06-22,2341,1
It's Up,"Drake, Young Thug & 21 Savage",28,15,2024-08-23,102,0
It's You,Ali Gatie,70,120,2019-06-28,270,1
It's You,Zayn,59,1,2016-03-18,43,0
Its Every Night Sis,RiceGum Featuring Alissa Violet,80,1,2017-09-08,22,0
Itty Bitty Piggy,Nicki Minaj,82,1,2021-05-28,20,0
Ivy,Frank Ocean,80,1,2016-09-09,22,0
Ivy,Taylor Swift,61,1,2020-12-25,41,0
J Christ,Lil Nas X,69,1,2024-01-26,33,0
Jack Sparrow,The Lonely Island Featuring Michael Bolton,69,3,2011-05-27,37,0
Jackie Chan,Tiesto & Dzeko Featuring Preme & Post Malone,52,190,2018-07-20,428,1
Jaded,Drake,32,3,2018-07-13,74,0
Jaded,Miley Cyrus,56,120,2023-03-24,284,1
Jail,Kanye West,10,6,2021-09-10,102,0
Jail Pt 2,Kanye West,63,1,2021-09-10,39,0
Jake's Piano - Long Island,Zach Bryan,41,3,2023-09-08,65,0
Jam,"Kevin Gates Featuring Trey Songz, Ty Dolla $ign & Jamie Foxx",97,1,2016-02-19,5,0
Japan,Famous Dex,28,120,2018-04-06,312,1
Jar Of Hearts,Christina Perri,17,496,2010-07-16,1075,1
Jar Of Hearts,Glee Cast,49,1,2011-05-27,53,0
Jealous,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",57,1,2019-05-31,45,0
Jealous,Future & Metro Boomin,54,1,2024-04-26,48,0
Jealous,Nick Jonas,7,528,2014-09-26,1149,1
Jealousy,Offset & Cardi B,55,6,2023-08-11,57,0
"Jealousy, Jealousy",Olivia Rodrigo,24,45,2021-06-04,166,1
Jerika,Jake Paul & Erika Costell Featuring Uncle Kade,86,1,2017-08-04,16,0
Jerry Sprunger,Tory Lanez & T-Pain,44,55,2019-11-22,166,1
Jersey,Future,87,3,2015-10-16,19,0
Jessie's Girl,Glee Cast,23,6,2010-05-28,89,0
Jesus Is Lord,Kanye West,63,1,2019-11-08,39,0
Jesus Lord,Kanye West,26,3,2021-09-10,80,0
Jet Black Heart,5 Seconds Of Summer,95,1,2015-09-18,7,0
Jet Lag,Future & Juice WRLD Featuring Young Scooter,72,1,2018-11-02,30,0
Jimmy Choo,Fetty Wap,65,66,2016-02-26,167,1
Jimmy Cooks,Drake Featuring 21 Savage,1,325,2022-07-01,749,1
Jingle Bell Rock,Bobby Helms,3,1690,2016-01-08,3477,1
Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins,16,153,2019-01-04,390,1
Jingle Bells,Meghan Trainor,78,10,2023-12-29,42,0
Jocelyn Flores,XXXTENTACION,19,210,2017-09-15,501,1
Joe,Luke Combs,89,1,2023-03-10,13,0
John,Lil Wayne Featuring Rick Ross,22,210,2011-04-08,498,1
"John Cougar, John Deere, John 3:16",Keith Urban,40,210,2015-06-26,480,1
John Doe,B.o.B Featuring Priscilla,69,15,2014-04-11,61,0
Johnny Dang,"That Mexican OT, Paul Wall & DRODi",65,78,2023-07-28,191,1
Johnny P's Caddy,Benny The Butcher & J. Cole,72,1,2022-02-11,30,0
Jolene,Beyonce,7,6,2024-04-12,105,0
Jolene,Vicci Martinez,76,1,2011-07-01,26,0
Jonah,Kanye West,27,3,2021-09-10,79,0
Jonestown (Interlude),Post Malone,73,1,2018-05-11,29,0
Jorja Interlude,Drake,49,3,2017-04-07,57,0
Judas,Lady Gaga,10,36,2011-04-29,162,1
Judge Judy,"Tyler, The Creator",40,6,2024-11-08,72,0
Jugaste y Sufri,Eslabon Armado Featuring DannyLux,69,28,2021-10-15,87,0
Jugg,Fetty Wap Featuring Monty,86,21,2015-10-16,56,0
Juggernaut,"Tyler, The Creator Featuring Lil Uzi Vert & Pharrell Williams",40,3,2021-07-09,66,0
Juice,Lizzo,82,10,2019-05-24,38,0
Juice,Yo Gotti,90,18,2017-12-22,46,0
Juice WRLD Did,DJ Khaled Featuring Juice WRLD,55,1,2022-09-09,47,0
Juicy,Doja Cat & Tyga,41,210,2019-08-30,479,1
Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,5,231,2016-10-07,557,1
July,Noah Cyrus & Leon Bridges,85,136,2020-01-10,287,1
Jumbotron Shit Poppin,Drake,16,10,2022-11-18,104,0
Jump,DaBaby Featuring YoungBoy Never Broke Again,17,10,2020-05-01,103,0
Jump Out The Face,Meek Mill Featuring Future,91,3,2015-07-24,15,0
Jump Out The Window,Big Sean,76,1,2017-02-24,26,0
Jump Right In,Zac Brown Band,53,120,2013-05-10,287,1
Jumpin,NLE Choppa Featuring Polo G,89,1,2021-11-19,13,0
Jumpin On A Jet,Future,57,3,2019-01-25,49,0
Jumpman,Drake & Future,12,528,2015-10-09,1144,1
Jumpsuit,Twenty One Pilots,50,10,2018-07-20,70,0
Jungle,Jamie N Commons & X Ambassadors,87,3,2014-06-27,19,0
Juno,Sabrina Carpenter,22,120,2024-09-06,318,1
Junya,Kanye West,16,3,2021-09-10,90,0
Just A Dream,Nelly,3,406,2010-09-03,909,1
Just A Fool,Christina Aguilera With Blake Shelton,71,3,2012-11-30,35,0
Just A Kiss,Lady Antebellum,7,903,2011-05-20,1899,1
Just About Over You,Priscilla Block,81,28,2021-10-22,75,0
Just Breathe,Pearl Jam,78,105,2010-01-29,232,1
Just Can't Get Enough,The Black Eyed Peas,3,496,2011-03-04,1089,1
Just Fishin',Trace Adkins,61,210,2011-06-17,459,1
Just For Fun,Beyonce & Willie Jones,59,1,2024-04-12,43,0
Just Gettin' Started,Jason Aldean,54,171,2014-10-17,388,1
Just Give Me A Reason,P!nk Featuring Nate Ruess,1,666,2013-03-01,1431,1
Just Hold On,Steve Aoki & Louis Tomlinson,52,21,2016-12-30,90,0
Just How It Is,Young Thug,60,1,2019-08-30,42,0
Just Keep Breathing,WE the Kings,92,1,2013-04-26,10,0
Just Like Fire,P!nk,10,351,2016-05-06,792,1
Just Like Magic,Ariana Grande,43,3,2020-11-13,63,0
Just Like Me,"21 Savage, Burna Boy & Metro Boomin",67,1,2024-01-26,35,0
Just Say Det,Moneybagg Yo,82,1,2021-05-07,20,0
Just The Way,Parmalee x Blanco Brown,31,210,2021-01-08,489,1
